epoch	accuracy	loss	val_accuracy	val_f1	val_loss
0	0.8347872	0.37267420546305585	0.8848283290863037	0.8863139484040228	0.29144931790044537
1	0.9240428	0.20313565625606544	0.8867109417915344	0.886143572621035	0.28340897723817876
2	0.9407602	0.16138191804364363	0.8902547359466553	0.8907748264080239	0.2737360394080216
3	0.9533422	0.1314890339888926	0.8951273560523987	0.8957622454595486	0.26894665089820574
4	0.96324694	0.10784019224896157	0.8929125070571899	0.8932553261949442	0.2808479763344673
5	0.9719827	0.08671099309481006	0.8910298943519592	0.8892141409592433	0.2976748318239172
6	0.9787828	0.07016340480441825	0.8869324326515198	0.8957622454595486	0.32052941154007897
7	0.9627693	0.10788743202918831	0.8916943669319153	0.8957622454595486	0.28053132858651286
8	0.9630961	0.10772325614711549	0.8930232524871826	0.8957622454595486	0.2818232396050281
9	0.9633475	0.10719975907059708	0.8944628834724426	0.8957622454595486	0.2796234127889044
10	0.9633475	0.10676729961948406	0.8972314596176147	0.8957622454595486	0.2752245237924992
11	0.9632847	0.10718369246583295	0.8888150453567505	0.8957622454595486	0.288293506609377
12	0.9627944	0.10682105324365826	0.8959025740623474	0.8957622454595486	0.28020543236933143
13	0.9629201	0.10698873445561348	0.8942413926124573	0.8957622454595486	0.28121219485305077
14	0.9635486	0.10658359271474768	0.892137348651886	0.8957622454595486	0.2869771917463009
15	0.96352345	0.10663096788336858	0.8957918286323547	0.8957622454595486	0.27395135667236936
16	0.9632847	0.10695591494045831	0.894684374332428	0.8957622454595486	0.2816337547032936
17	0.9624802	0.10786945200167365	0.8944628834724426	0.8957622454595486	0.28143992202226503
18	0.963888	0.10599913610334014	0.8882613778114319	0.8957622454595486	0.29650041193661103
19	0.963624	0.10742082623905112	0.8959025740623474	0.8957622454595486	0.27507225443358435
20	0.96332234	0.10669082362220617	0.892137348651886	0.8957622454595486	0.28638191743282515
21	0.96319664	0.10662548737832932	0.8933554887771606	0.8957622454595486	0.2826348402439426
22	0.9629201	0.10760471503092946	0.8911406397819519	0.8957622454595486	0.2856517683892023
23	0.96270645	0.10732822201702341	0.8851605653762817	0.8957622454595486	0.30025656307786536
24	0.96315897	0.10775073859743704	0.8900332450866699	0.8957622454595486	0.2930224849470166
25	0.96337265	0.10701574493837247	0.8895902633666992	0.8957622454595486	0.2984023789894805
26	0.96315897	0.10625649848738666	0.8952381014823914	0.8957622454595486	0.2812294109583165
27	0.9638754	0.10642058232213347	0.8924695253372192	0.8957622454595486	0.2866910552793695
28	0.9632847	0.10746760455040542	0.895348846912384	0.8957622454595486	0.2808178769261602
29	0.9640137	0.1064350546045407	0.893244743347168	0.8957622454595486	0.2835729867318936
30	0.96358633	0.10642227260169018	0.8934662342071533	0.8957622454595486	0.2798215927871755
31	0.96236706	0.10795263658832822	0.8899224996566772	0.8957622454595486	0.2882001809173512
32	0.9630961	0.10717588044601303	0.8900332450866699	0.8957622454595486	0.29586251106769146
33	0.9637497	0.10630637632193178	0.8931339979171753	0.8957622454595486	0.2806453959952425
34	0.9634355	0.1070840231110231	0.8909191489219666	0.8957622454595486	0.2875309368172621
35	0.9638	0.10644321456173582	0.8940199613571167	0.8957622454595486	0.28267424352145276
36	0.9629955	0.10763348639198682	0.8904761672019958	0.8957622454595486	0.28853745186579716
37	0.962895	0.1073572701250357	0.8911406397819519	0.8957622454595486	0.28400130578185767
38	0.96378744	0.10589999568693424	0.894684374332428	0.8957622454595486	0.28060541334474337
39	0.9630207	0.10705570768002198	0.894684374332428	0.8957622454595486	0.28238678087427765
40	0.96391314	0.10701758484500677	0.8933554887771606	0.8957622454595486	0.27934180696145244
41	0.962807	0.10725719545201097	0.8929125070571899	0.8957622454595486	0.28504081975714046
42	0.9632972	0.10793778744690492	0.891805112361908	0.8957622454595486	0.2861501958943153
43	0.96397597	0.1066871647280267	0.8942413926124573	0.8957622454595486	0.28044055046829275
44	0.96332234	0.10682957961587077	0.8885935544967651	0.8957622454595486	0.29847563371837865
45	0.9634103	0.10729046640634603	0.8919158577919006	0.8957622454595486	0.2837433204500382
46	0.9632847	0.10697486654548444	0.8942413926124573	0.8957622454595486	0.27666277074866646
47	0.9632218	0.10618276141598716	0.8916943669319153	0.8957622454595486	0.28367463486931255
48	0.9630081	0.10625352334800435	0.8915836215019226	0.8957622454595486	0.2846168573776617
49	0.9635989	0.10656267854187079	0.8924695253372192	0.8957622454595486	0.2833809539131152
best_val_acc	0.8951273560523987
best_val_f1	0.8957622454595486
best_test_acc	0.9018520712852478
best_test_f1	0.9029072956664839
