epoch	accuracy	loss	val_accuracy	val_f1	val_loss
0	0.8425425	0.3610025972203583	0.8881506323814392	0.8886929689221953	0.28735008583644434
1	0.92612934	0.19551766998212727	0.8911406397819519	0.8914891268351914	0.27223305842145074
2	0.9440911	0.15365169021840183	0.8901439905166626	0.8890628494743906	0.27472605203605305
3	0.95673597	0.1229492554980938	0.8880398869514465	0.8864937689457729	0.2848414280419862
4	0.9670681	0.09819142850598987	0.8916943669319153	0.8914891268351914	0.29071279182650583
5	0.94390255	0.15387274537965684	0.8901439905166626	0.8914891268351914	0.2763336601909477
6	0.94395286	0.15324091358745393	0.8911406397819519	0.8914891268351914	0.27718613333876346
7	0.94422936	0.1531098997578841	0.8905869126319885	0.8914891268351914	0.27795974211571356
8	0.94342494	0.15322795668522537	0.8878183960914612	0.8914891268351914	0.2825962187707886
9	0.94357574	0.15302073733211569	0.8888150453567505	0.8914891268351914	0.279397803148954
10	0.9440157	0.15328445009835337	0.8952381014823914	0.8967474350578475	0.26714694833306646
11	0.95687425	0.1214566044603997	0.8919158577919006	0.8921546961325967	0.28363110089750915
12	0.96689206	0.09657417394659297	0.8915836215019226	0.8909192200557104	0.2883896614427978
13	0.9763317	0.0747462791078887	0.8928017616271973	0.8967474350578475	0.2981059926094803
14	0.9561703	0.12265757353062208	0.8951273560523987	0.8967474350578475	0.27162449113026277
15	0.95566756	0.12374204500740615	0.8901439905166626	0.8967474350578475	0.2867998583702286
16	0.957113	0.12194768673200414	0.8940199613571167	0.8967474350578475	0.2747935662633953
17	0.9563212	0.12219094770694709	0.8940199613571167	0.8967474350578475	0.27484543993491534
18	0.9570502	0.1221624391480339	0.895016610622406	0.8967474350578475	0.27743326312679784
19	0.9561703	0.12132892250691056	0.883277952671051	0.8967474350578475	0.3033952855126538
20	0.95628345	0.1224907875857432	0.893244743347168	0.8967474350578475	0.27601216925867106
21	0.9563212	0.12183865036169877	0.8900332450866699	0.8967474350578475	0.2902570956107126
22	0.9563589	0.12232923767605729	0.893244743347168	0.8967474350578475	0.2733219692807393
23	0.9568365	0.1218275448445575	0.895016610622406	0.8967474350578475	0.2762211110768788
24	0.9567862	0.12192367297843551	0.8949058651924133	0.8967474350578475	0.2756272845820071
25	0.9570376	0.12229544154485099	0.8951273560523987	0.8967474350578475	0.27961904089052153
26	0.956472	0.12253225409501206	0.8849390745162964	0.8967474350578475	0.30190666945009664
27	0.9569371	0.1213554277950161	0.8842746615409851	0.8967474350578475	0.3093464302198171
28	0.9559692	0.122236841096517	0.8920266032218933	0.8967474350578475	0.2826432426770528
29	0.9566354	0.12152137453394714	0.8900332450866699	0.8967474350578475	0.2857831033097285
30	0.95689934	0.1225146574274864	0.8941306471824646	0.8967474350578475	0.27341816718396156
31	0.95727646	0.12168803019340248	0.8914728760719299	0.8967474350578475	0.2824288482219806
32	0.956472	0.12234084093052865	0.8954595923423767	0.8967474350578475	0.27135499037249405
33	0.95633376	0.12206047746202801	0.893909215927124	0.8967474350578475	0.28092395970855705
34	0.9565977	0.12184566977152701	0.8909191489219666	0.8967474350578475	0.2822300383022853
35	0.9570502	0.12176384599963903	0.8915836215019226	0.8967474350578475	0.28352462433501335
36	0.9563714	0.12257187945884877	0.8949058651924133	0.8967474350578475	0.27603148277415784
37	0.9567988	0.12198586203949241	0.8970099687576294	0.8967474350578475	0.27725590631151253
38	0.95669824	0.12200592441615957	0.8861572742462158	0.8967474350578475	0.29638827139489016
39	0.9567234	0.12232402977154005	0.895348846912384	0.8967474350578475	0.2711101060359845
40	0.95720106	0.12182174962736092	0.8882613778114319	0.8967474350578475	0.2887704290424867
41	0.95669824	0.12091871219556967	0.8945736289024353	0.8967474350578475	0.2801614667094031
42	0.9573267	0.12110780930514758	0.8954595923423767	0.8967474350578475	0.27740613473610226
43	0.95669824	0.12147762605076136	0.8936877250671387	0.8967474350578475	0.2785968578337039
44	0.9563086	0.12285197124665444	0.892137348651886	0.8967474350578475	0.2824111814382728
45	0.95648456	0.12172342995124788	0.8892580270767212	0.8967474350578475	0.29317604529765223
46	0.9569245	0.12162606863230943	0.8930232524871826	0.8967474350578475	0.27814544693444126
47	0.95740217	0.12099610570527966	0.8911406397819519	0.8967474350578475	0.2888212444444299
48	0.9562458	0.12198396650120702	0.8963454961776733	0.8967474350578475	0.2724870822556391
49	0.9575027	0.12178081894967377	0.8885935544967651	0.8967474350578475	0.2845855943784365
best_val_acc	0.8952381014823914
best_val_f1	0.8967474350578475
best_test_acc	0.9006321430206299
best_test_f1	0.9024602656215982
